Title,Author,Movement,GutenbergID,IsProse
Hymns to the Night,Novalis,Romanticism,33654,True
The Sorrows of Young Werther,Johann Wolfgang von Goethe,Romanticism,2527,True
The Book of the Courtier,Baldassare Castiglione,Renaissance,6080,True
La Celestina,Fernando de Rojas,Renaissance,16168,True
Everyman,Anonymous,Renaissance,19608,True
Hero and Leander,Christopher Marlowe,Renaissance,14471,True
Euphues and His England,John Lyly,Renaissance,62279,True
Volpone,Ben Jonson,Renaissance,21774,True
The Countess of Pembroke's Arcadia,Philip Sidney,Renaissance,70854,True
The Woman Hater,Francis Beaumont and John Fletcher,Renaissance,56163,True
A Game at Chess,Thomas Middleton,Renaissance,55657,True
Arden of Faversham,Anonymous,Renaissance,46304,True
Fortitude,Hugh Walpole,Gothicism,7887,True
The Romance of the Forest,Ann Radcliffe,Gothicism,64701,True
"The Italian, Volume 1: or, The Confessional of the Black Penitents",Ann Radcliffe,Gothicism,74643,True
"The Italian, Volume 2: or, The Confessional of the Black Penitents",Ann Radcliffe,Gothicism,74640,True
"The Abbess, or Memoirs of the Court of France",William Henry Ireland,Gothicism,70744,True
The Necromancer of the Black Forest,Ludwig Flammenberg,Gothicism,72351,True
The Castle of Wolfenbach,Eliza Parsons,Gothicism,70767,True
The Prince,Niccolò Machiavelli,Renaissance,1232,True
Utopia,Thomas More,Renaissance,2130,True
The Decameron,Giovanni Boccaccio,Renaissance,23700,True
Gargantua and Pantagruel,François Rabelais,Renaissance,1200,True
Essays,Michel de Montaigne,Renaissance,3600,True
The Tragical History of Doctor Faustus,Christopher Marlowe,Renaissance,966,True
The Lusiads,Luís Vaz de Camões,Renaissance,29881,True
Euphues: The Anatomy of Wit,John Lyly,Renaissance,62278,True
The Schoolmaster,Roger Ascham,Renaissance,1844,True
Frankenstein,Mary Shelley,Gothicism,84,True
Melmoth the Wanderer,Charles Maturin,Gothicism,40719,True
Wieland,Charles Brockden Brown,Gothicism,20529,True
The Old English Baron,Clara Reeve,Gothicism,14154,True
Zanoni,Edward Bulwer-Lytton,Gothicism,6967,True
The Woman in White,Wilkie Collins,Gothicism,583,True
The Scarlet Letter,Nathaniel Hawthorne,Gothicism,33,True
The Corsair,Lord Byron,Romanticism,66466,True
Queen Mab,Percy Bysshe Shelley,Romanticism,4801,True
Middlemarch,George Eliot,Realism,145,True
The Adventures of Tom Sawyer,Mark Twain,Realism,74,True
The Rise of Silas Lapham,William D. Howells,Realism,4590,True
Madame Bovary,Gustave Flaubert,Realism,2413,True
Anna Karenina,Leo Tolstoy,Realism,1399,True
The Portrait of a Lady,Henry James,Realism,2833,True
The Jungle,Upton Sinclair,Naturalism,140,True
The Titan,Theodore Dreiser,Naturalism,1841,True
Dracula,Bram Stoker,Gothicism,345,True
The Picture of Dorian Gray,Oscar Wilde,Gothicism,174,True
Wuthering Heights,Emily Brontë,Gothicism,768,True
The Turn of the Screw,Henry James,Gothicism,209,True
The Castle of Otranto,Horace Walpole,Gothicism,696,True
The Mysteries of Udolpho,Ann Radcliffe,Gothicism,3268,True
The Monk,Matthew G. Lewis,Gothicism,601,True
Carmilla,J. Sheridan Le Fanu,Gothicism,10007,True
The Fall of the House of Usher,Edgar Allan Poe,Gothicism,932,True
The Vampyre,John William Polidori,Gothicism,6087,True
The Dial,Margaret Fuller,Transcendentalism,16120,True
Memoirs of Margaret Fuller Ossoli,Margaret Fuller,Transcendentalism,11413,True
Transcendentalism in New England,Octavius B. Frothingham,Transcendentalism,38907,True
The Metamorphosis,Franz Kafka,Modernism,5200,True
A Portrait of the Artist as a Young Man,James Joyce,Modernism,4217,True
Ulysses,James Joyce,Modernism,4300,True
The Trial,Franz Kafka,Modernism,7849,True
Vathek,William Beckford,Gothicism,42401,True
The Great Gatsby,F. Scott Fitzgerald,Modernism,64317,True
To the Lighthouse,Virginia Woolf,Modernism,144,True
Mrs. Dalloway,Virginia Woolf,Modernism,158,True
The Sun Also Rises,Ernest Hemingway,Modernism,671,True
As I Lay Dying,William Faulkner,Modernism,3806,True
The Private Memoirs and Confessions of a Justified Sinner,James Hogg,Gothicism,2276,True
War and Peace,Leo Tolstoy,Realism,2600,True
Letters of Two Brides,Honoré de Balzac,Realism,22981,True
Crime and Punishment,Fyodor Dostoevsky,Realism,2554,True
Adventures of Huckleberry Finn,Mark Twain,Realism,76,True
Cranford,Elizabeth Gaskell,Realism,394,True
Project Gutenberg Compilation of Short Stories by Chekhov,Anton Chekhov,Realism,57333,True
Books and authors,T.S. Eliot,Modernism,73139,True
Lady Chatterley's lover,D.H. Lawrence,Modernism,73144,True
The sound and the fury,William Faulkner,Modernism,75170,True
"The Garden Party, and Other Stories",Katherine Mansfield,Modernism,1429,True
A Tale of Two Cities,Charles Dickens,Realism,98,True
The Japanese Spirit,George Meredith,Realism,34341,True
Jane Eyre: An Autobiography,Charlotte Brontë,Realism,1260,True
Barchester Towers,Anthony Trollope,Realism,28811,True
The Moonstone,Wilkie Collins,Gothicism,155,True
Treasure Island,Robert Louis Stevenson,Romanticism,120,True
Pride and Prejudice,Jane Austen,Romanticism,1342,True
Moby Dick,Herman Melville,Romanticism,2701,True
A Christmas Carol,Charles Dickens,Realism,46,True
David Copperfield,Charles Dickens,Realism,766,True
Little Women,Louisa May Alcott,Realism,37106,True
Great Expectations,Charles Dickens,Realism,1400,True
Oliver Twist,Charles Dickens,Realism,730,True
Uncle Tom's Cabin,Harriet Beecher Stowe,Realism,203,True
The Three Musketeers,Alexandre Dumas,Romanticism,1257,True
Les Misérables,Victor Hugo,Romanticism,135,True
The Call of the Wild,Jack London,Realism,215,True
The Wind in the Willows,Kenneth Grahame,Realism,289,True
The Grapes of Wrath,John Steinbeck,Modernism,46787,True
Sense and Sensibility,Jane Austen,Romanticism,161,True
The Last of the Mohicans,James Fenimore Cooper,Romanticism,940,True
Heidi,Johanna Spyri,Realism,20781,True
The Complete Sherlock Holmes,Arthur Conan Doyle,Realism,244,True
The Count of Monte Cristo,Alexandre Dumas,Romanticism,1184,True
The Hunchback of Notre Dame,Victor Hugo,Romanticism,2610,True
Ivanhoe,Walter Scott,Romanticism,82,True
Anne of Green Gables,L.M. Montgomery,Realism,45,True
The House of the Seven Gables,Nathaniel Hawthorne,Gothicism,77,True
The Prince and the Pauper,Mark Twain,Romanticism,1837,True
Lord Jim,Joseph Conrad,Realism,5658,True
The Red & the Black,Stendhal,Romanticism,44747,True
Kidnapped: The Adventures of David Balfour,Robert Louis Stevenson,Romanticism,421,True
Vanity Fair,William Makepeace Thackeray,Realism,599,True
My Ántonia,Willa Cather,Modernism,242,True
White Fang,Jack London,Realism,910,True
Fathers and Sons,Ivan Sergeevich Turgenev,Realism,47935,True
Persuasion,Jane Austen,Romanticism,105,True
Mansfield Park,Jane Austen,Romanticism,141,True
Far from the Madding Crowd,Thomas Hardy,Realism,107,True
Sons and Lovers,D.H. Lawrence,Modernism,217,True
The Swiss Family Robinson,Johann David Wyss,Romanticism,11703,True
Bleak House,Charles Dickens,Realism,1023,True
Père Goriot,Honoré de Balzac,Realism,1237,True
"The History of Tom Jones, a Foundling",Henry Fielding,Realism,6593,True
Kim,Rudyard Kipling,Realism,2226,True
The Mill on the Floss,George Eliot,Realism,6688,True
The Hound of the Baskervilles,Arthur Conan Doyle,Realism,2852,True
The Age of Innocence,Edith Wharton,Modernism,541,True
Northanger Abbey,Jane Austen,Romanticism,121,True
Hard Times,Charles Dickens,Realism,786,True
Silas Marner,George Eliot,Realism,550,True
A Passage to India,E.M. Forster,Modernism,61221,True
Nicholas Nickleby,Charles Dickens,Realism,967,True
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Gothicism,43,True
The Idiot,Fyodor Dostoyevsky,Realism,2638,True
Ben-Hur,Lew Wallace,Romanticism,2145,True
Captains Courageous,Rudyard Kipling,Realism,2186,True
Women in Love,D.H. Lawrence,Modernism,4240,True
O Pioneers!,Willa Cather,Modernism,24,True
The Old Curiosity Shop,Charles Dickens,Realism,700,True
Little Dorrit,Charles Dickens,Realism,963,True
This Side of Paradise,F. Scott Fitzgerald,Modernism,805,True
Of Human Bondage,W. Somerset Maugham,Modernism,351,True
Siddhartha,Hermann Hesse,Modernism,2500,True
Adam Bede,George Eliot,Realism,507,True
The Betrothed,Alessandro Manzoni,Romanticism,35155,True
The Sea Wolf,Jack London,Realism,1074,True
Death Comes for the Archbishop,Willa Cather,Modernism,69730,True
The Pickwick Papers,Charles Dickens,Realism,580,True
Remembrance of Things Past,Marcel Proust,Modernism,7178,True
Barchester Towers and the Warden,Anthony Trollope,Realism,3409,True
The Bridge of San Luis Rey,Thornton Wilder,Modernism,69768,True
Dombey And Son,Charles Dickens,Realism,821,True
A Room With a View,E.M. Forster,Realism,2641,True
Our Mutual Friend,Charles Dickens,Realism,883,True
Babbitt,Sinclair Lewis,Modernism,1156,True
Lorna Doone,R.D. Blackmore,Romanticism,17460,True
Anne of Avonlea,L.M. Montgomery,Realism,47,True
The Phantom of the Opera,Gaston Leroux,Gothicism,175,True
The Way of All Flesh,Samuel Butler,Realism,2084,True
Villette,Charlotte Brontë,Realism,9182,True
Quo Vadis,Henryk Sienkiewicz,Romanticism,2853,True
Main Street,Sinclair Lewis,Modernism,543,True
Buddenbrooks,Thomas Mann,Realism,72961,True
Le Morte D'Arthur,Thomas Malory,Renaissance,1251,True
The Merry Adventures of Robin Hood of Great Renown In Nottinghamshire,Howard Pyle,Romanticism,10148,True
The Mystery of Edwin Drood,Charles Dickens,Realism,564,True
Washington Square,Henry James,Realism,2870,True
Nostromo,Joseph Conrad,Realism,2021,True
Heart of Darkness,Joseph Conrad,Realism,219,True
Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin,Realism,498,True
The Ambassadors,Henry James,Realism,432,True
The Secret Agent,Joseph Conrad,Realism,974,True
The Forsyte Saga,John Galsworthy,Modernism,2559,True
"Winesburg, Ohio",Sherwood Anderson,Modernism,416,True
Barnaby Rudge,Charles Dickens,Realism,917,True
Howards End,E.M. Forster,Realism,2946,True
The Rainbow,D.H. Lawrence,Modernism,28948,True
The Man In the Iron Mask,Alexandre Dumas,Romanticism,2759,True
Resurrection,Leo Tolstoy,Realism,1938,True
Death In Venice,Thomas Mann,Modernism,66073,True
The Murder of Roger Ackroyd,Agatha Christie,Modernism,69087,True
The Warden,Anthony Trollope,Realism,619,True
Shirley,Charlotte Brontë,Realism,30486,True
Anne of the Island,L.M. Montgomery,Modernism,51,True
The Tenant of Wildfell Hall,Anne Brontë,Realism,969,True
The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,Romanticism,32954,True
The Virginian: A Horseman of the Plains,Owen Wister,Realism,1298,True
King Solomon's Mines,H. Rider Haggard,Romanticism,2166,True
The Moon and Sixpence,W. Somerset Maugham,Modernism,222,True
Dangerous Liaisons,Choderlos de Laclos,Romanticism,45512,True
Arrowsmith,Sinclair Lewis,Modernism,70875,True
Flatland,Edwin A. Abbott,Realism,201,True
Kenilworth,Walter Scott,Romanticism,1606,True
