Title,Author,Movement,GutenbergID,IsProse
Vathek,William Beckford,Gothicism,42401,True
Mrs. Dalloway,Virginia Woolf,Modernism,71865,True
The Sun Also Rises,Ernest Hemingway,Modernism,67138,True
Letters of Two Brides,Honore de Balzac,Realism,1941,True
Barchester Towers,Anthony Trollope,Realism,3409,True
"Moby Dick; Or, The Whale",Herman Melville,Romanticism,2701,True
The Adventures of Sherlock Holmes,Arthur Conan Doyle,Realism,1661,True
Notre-Dame De Paris,Victor Hugo,Romanticism,2610,True
Kidnapped,Robert Louis Stevenson,Romanticism,421,True
Fathers and Sons,Ivan S. Turgenev,Realism,47935,True
Far from the Madding Crowd,Thomas Hardy,Realism,107,True
Bleak House,Charles Dickens,Realism,1023,True
Father Goriot,Honoré de Balzac,Realism,1237,True
The Life and Adventures of Nicholas Nickleby,Charles Dickens,Realism,967,True
Swan's Way,Marcel Proust,Modernism,7178,True
Barchester Towers,Anthony Trollope,Realism,3409,True
"Buddenbrooks, Volume 1 of 2",Thomas Mann,Realism,72961,True
"Buddenbrooks, Volume 2 of 2",Thomas Mann,Realism,72962,True
Le Morte D'Arthur: Volume 1,Thomas Malory,Renaissance,1251,True
Le Morte D'Arthur: Volume 2,Thomas Malory,Renaissance,1252,True
The Merry Adventures of Robin Hood,Howard Pyle,Romanticism,10148,True
"The Forsyte Saga - Complete",John Galsworthy,Modernism,4397,True
The Man In the Iron Mask,Alexandre Dumas,Romanticism,2759,True
Dangerous Connections,Choderlos de Laclos,Romanticism,45512,True
