GutenbergID,Expected_Title,Actual_Title,Author,Movement,Status,Similarity,URL,Text_Length
70854,The Countess of Pembroke's Arcadia,The Countess of Pembroke's Arcadia,Philip Sidney,Renaissance,Match,100,https://www.gutenberg.org/files/70854/70854-0.txt,1981185
1232,The Prince,The Prince,Niccolò Machiavelli,Renaissance,Match,100,https://www.gutenberg.org/cache/epub/1232/pg1232.txt,307087
2130,Utopia,Utopia,Thomas More,Renaissance,Match,100,https://www.gutenberg.org/files/2130/2130-0.txt,260730
1844,The Schoolmaster,The Schoolmaster,Roger Ascham,Renaissance,Match,100,https://www.gutenberg.org/files/1844/1844-0.txt,346777
84,Frankenstein,"Frankenstein; Or, The Modern Prometheus",Mary Shelley,Gothicism,Match,100,https://www.gutenberg.org/cache/epub/84/pg84.txt,446543
583,The Woman in White,The Woman in White,Wilkie Collins,Gothicism,Match,100,https://www.gutenberg.org/files/583/583-0.txt,1396198
33,The Scarlet Letter,The Scarlet Letter,Nathaniel Hawthorne,Gothicism,Match,100,https://www.gutenberg.org/files/33/33-0.txt,508114
66466,The Corsair,The corsair; a romantic legend of Hell Gate,Lord Byron,Romanticism,Match,100,https://www.gutenberg.org/cache/epub/66466/pg66466.txt,55865
145,Middlemarch,Middlemarch,George Eliot,Realism,Match,100,https://www.gutenberg.org/cache/epub/145/pg145.txt,1833025
74,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,Mark Twain,Realism,Match,100,https://www.gutenberg.org/files/74/74-0.txt,421110
2413,Madame Bovary,Madame Bovary,Gustave Flaubert,Realism,Match,100,https://www.gutenberg.org/cache/epub/2413/pg2413.txt,685231
1399,Anna Karenina,Anna Karenina,Leo Tolstoy,Realism,Match,100,https://www.gutenberg.org/cache/epub/1399/pg1399.txt,2024277
2833,The Portrait of a Lady,The Portrait of a Lady,Henry James,Realism,Match,100,https://www.gutenberg.org/files/2833/2833-0.txt,689750
140,The Jungle,The Jungle,Upton Sinclair,Naturalism,Match,100,https://www.gutenberg.org/cache/epub/140/pg140.txt,841880
345,Dracula,Dracula,Bram Stoker,Gothicism,Match,100,https://www.gutenberg.org/files/345/345-0.txt,880834
174,The Picture of Dorian Gray,The Picture of Dorian Gray,Oscar Wilde,Gothicism,Match,100,https://www.gutenberg.org/cache/epub/174/pg174.txt,457528
768,Wuthering Heights,Wuthering Heights,Emily Brontë,Gothicism,Match,100,https://www.gutenberg.org/files/768/768-0.txt,677534
209,The Turn of the Screw,The Turn of the Screw,Henry James,Gothicism,Match,100,https://www.gutenberg.org/cache/epub/209/pg209.txt,252643
696,The Castle of Otranto,The Castle of Otranto,Horace Walpole,Gothicism,Match,100,https://www.gutenberg.org/files/696/696-0.txt,234667
3268,The Mysteries of Udolpho,The Mysteries of Udolpho,Ann Radcliffe,Gothicism,Match,100,https://www.gutenberg.org/files/3268/3268-0.txt,1729989
601,The Monk,The Monk:,Matthew G. Lewis,Gothicism,Match,100,https://www.gutenberg.org/files/601/601-0.txt,821222
10007,Carmilla,Carmilla,J. Sheridan Le Fanu,Gothicism,Match,100,https://www.gutenberg.org/cache/epub/10007/pg10007.txt,178829
932,The Fall of the House of Usher,The Fall of the House of Usher,Edgar Allan Poe,Gothicism,Match,100,https://www.gutenberg.org/files/932/932.txt,63287
6087,The Vampyre,The Vampyre; A Tale,John William Polidori,Gothicism,Match,100,https://www.gutenberg.org/files/6087/6087.txt,95101
38907,Transcendentalism in New England,Transcendentalism in New England,Octavius B. Frothingham,Transcendentalism,Match,100,https://www.gutenberg.org/files/38907/38907.txt,691482
5200,The Metamorphosis,Metamorphosis,Franz Kafka,Modernism,Match,87,https://www.gutenberg.org/files/5200/5200-0.txt,140674
4217,A Portrait of the Artist as a Young Man,A Portrait of the Artist as a Young Man,James Joyce,Modernism,Match,100,https://www.gutenberg.org/cache/epub/4217/pg4217.txt,492284
4300,Ulysses,Ulysses,James Joyce,Modernism,Match,100,https://www.gutenberg.org/cache/epub/4300/pg4300.txt,1572144
7849,The Trial,The Trial,Franz Kafka,Modernism,Match,100,https://www.gutenberg.org/files/7849/7849-0.txt,475995
64317,The Great Gatsby,The Great Gatsby,F. Scott Fitzgerald,Modernism,Match,100,https://www.gutenberg.org/cache/epub/64317/pg64317.txt,296858
2276,The Private Memoirs and Confessions of a Justified Sinner,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,Gothicism,Match,100,https://www.gutenberg.org/files/2276/2276-0.txt,483120
2600,War and Peace,War and Peace,Leo Tolstoy,Realism,Match,100,https://www.gutenberg.org/files/2600/2600-0.txt,3293552
2554,Crime and Punishment,Crime and Punishment,Fyodor Dostoevsky,Realism,Match,100,https://www.gutenberg.org/cache/epub/2554/pg2554.txt,1176872
76,Adventures of Huckleberry Finn,Adventures of Huckleberry Finn,Mark Twain,Realism,Match,100,https://www.gutenberg.org/cache/epub/76/pg76.txt,602721
394,Cranford,Cranford,Elizabeth Gaskell,Realism,Match,100,https://www.gutenberg.org/files/394/394-0.txt,415716
57333,Project Gutenberg Compilation of Short Stories by Chekhov,Project Gutenberg Compilation of Short Stories by Chekhov,Anton Chekhov,Realism,Match,100,https://www.gutenberg.org/cache/epub/57333/pg57333.txt,5351787
73139,Books and authors,Books and authors,T.S. Eliot,Modernism,Match,100,https://www.gutenberg.org/cache/epub/73139/pg73139.txt,399144
73144,Lady Chatterley's lover,Lady Chatterley's lover,D.H. Lawrence,Modernism,Match,100,https://www.gutenberg.org/cache/epub/73144/pg73144.txt,680708
75170,The sound and the fury,The sound and the fury,William Faulkner,Modernism,Match,100,https://www.gutenberg.org/cache/epub/75170/pg75170.txt,537270
1429,"The Garden Party, and Other Stories","The Garden Party, and Other Stories",Katherine Mansfield,Modernism,Match,100,https://www.gutenberg.org/cache/epub/1429/pg1429.txt,345583
98,A Tale of Two Cities,A Tale of Two Cities,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/files/98/98-0.txt,793331
34341,The Japanese Spirit,The Japanese Spirit,George Meredith,Realism,Match,100,https://www.gutenberg.org/cache/epub/34341/pg34341.txt,151334
1260,Jane Eyre: An Autobiography,Jane Eyre: An Autobiography,Charlotte Brontë,Realism,Match,100,https://www.gutenberg.org/cache/epub/1260/pg1260.txt,1063073
155,The Moonstone,The Moonstone,Wilkie Collins,Gothicism,Match,100,https://www.gutenberg.org/files/155/155-0.txt,1113953
120,Treasure Island,Treasure Island,Robert Louis Stevenson,Romanticism,Match,100,https://www.gutenberg.org/cache/epub/120/pg120.txt,391620
1342,Pride and Prejudice,Pride and Prejudice,Jane Austen,Romanticism,Match,100,https://www.gutenberg.org/cache/epub/1342/pg1342.txt,763033
46,A Christmas Carol,A Christmas Carol,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/files/46/46-0.txt,181887
766,David Copperfield,David Copperfield,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/cache/epub/766/pg766.txt,1992675
37106,Little Women,"Little Women or Meg, Jo, Beth, and Amy",Louisa May Alcott,Realism,Match,100,https://www.gutenberg.org/files/37106/37106-0.txt,1112962
1400,Great Expectations,Great Expectations,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/cache/epub/1400/pg1400.txt,1034668
730,Oliver Twist,Oliver Twist,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/cache/epub/730/pg730.txt,931613
203,Uncle Tom's Cabin,Uncle Tom's Cabin,Harriet Beecher Stowe,Realism,Match,100,https://www.gutenberg.org/cache/epub/203/pg203.txt,1046606
1257,The Three Musketeers,The three musketeers,Alexandre Dumas,Romanticism,Match,100,https://www.gutenberg.org/cache/epub/1257/pg1257.txt,1348819
135,Les Misérables,Les Misérables,Victor Hugo,Romanticism,Match,100,https://www.gutenberg.org/cache/epub/135/pg135.txt,3324243
215,The Call of the Wild,The call of the wild,Jack London,Realism,Match,100,https://www.gutenberg.org/cache/epub/215/pg215.txt,198330
289,The Wind in the Willows,The Wind in the Willows,Kenneth Grahame,Realism,Match,100,https://www.gutenberg.org/cache/epub/289/pg289.txt,350605
161,Sense and Sensibility,Sense and Sensibility,Jane Austen,Romanticism,Match,100,https://www.gutenberg.org/files/161/161-0.txt,703186
940,The Last of the Mohicans,The Last of the Mohicans,James Fenimore Cooper,Romanticism,Match,100,https://www.gutenberg.org/files/940/940-0.txt,881389
20781,Heidi,Heidi,Johanna Spyri,Realism,Match,100,https://www.gutenberg.org/files/20781/20781.txt,311011
1184,The Count of Monte Cristo,The Count of Monte Cristo,Alexandre Dumas,Romanticism,Match,100,https://www.gutenberg.org/cache/epub/1184/pg1184.txt,2708328
82,Ivanhoe,Ivanhoe,Walter Scott,Romanticism,Match,100,https://www.gutenberg.org/files/82/82-0.txt,1144490
45,Anne of Green Gables,Anne of Green Gables,L.M. Montgomery,Realism,Match,100,https://www.gutenberg.org/cache/epub/45/pg45.txt,591574
77,The House of the Seven Gables,The House of the Seven Gables,Nathaniel Hawthorne,Gothicism,Match,100,https://www.gutenberg.org/files/77/77-0.txt,641353
1837,The Prince and the Pauper,"The Prince and The Pauper, Complete",Mark Twain,Romanticism,Match,85,https://www.gutenberg.org/files/1837/1837-0.txt,423802
5658,Lord Jim,Lord Jim,Joseph Conrad,Realism,Match,100,https://www.gutenberg.org/files/5658/5658-0.txt,740883
44747,The Red & the Black,The Red and the Black: A Chronicle of 1830,Stendhal,Romanticism,Match,92,https://www.gutenberg.org/cache/epub/44747/pg44747.txt,1122604
599,Vanity Fair,Vanity Fair,William Makepeace Thackeray,Realism,Match,100,https://www.gutenberg.org/cache/epub/599/pg599.txt,1765677
242,My Ántonia,My Ántonia,Willa Cather,Modernism,Match,100,https://www.gutenberg.org/files/242/242-0.txt,468465
910,White Fang,White Fang,Jack London,Realism,Match,100,https://www.gutenberg.org/cache/epub/910/pg910.txt,424639
105,Persuasion,Persuasion,Jane Austen,Romanticism,Match,100,https://www.gutenberg.org/cache/epub/105/pg105.txt,492833
141,Mansfield Park,Mansfield Park,Jane Austen,Romanticism,Match,100,https://www.gutenberg.org/cache/epub/141/pg141.txt,918860
217,Sons and Lovers,Sons and Lovers,D.H. Lawrence,Modernism,Match,100,https://www.gutenberg.org/files/217/217-0.txt,923209
11703,The Swiss Family Robinson,The Swiss Family Robinson; or Adventures in a Desert Island,Johann David Wyss,Romanticism,Match,100,https://www.gutenberg.org/cache/epub/11703/pg11703.txt,708528
6593,"The History of Tom Jones, a Foundling","The History of Tom Jones, a Foundling",Henry Fielding,Realism,Match,100,https://www.gutenberg.org/files/6593/6593-0.txt,2016389
2226,Kim,Kim,Rudyard Kipling,Realism,Match,100,https://www.gutenberg.org/cache/epub/2226/pg2226.txt,609604
6688,The Mill on the Floss,The Mill on the Floss,George Eliot,Realism,Match,100,https://www.gutenberg.org/files/6688/6688-0.txt,1182418
2852,The Hound of the Baskervilles,The Hound of the Baskervilles,Arthur Conan Doyle,Realism,Match,100,https://www.gutenberg.org/files/2852/2852-0.txt,381138
541,The Age of Innocence,The Age of Innocence,Edith Wharton,Modernism,Match,100,https://www.gutenberg.org/files/541/541.txt,612351
121,Northanger Abbey,Northanger Abbey,Jane Austen,Romanticism,Match,100,https://www.gutenberg.org/cache/epub/121/pg121.txt,461663
786,Hard Times,Hard Times,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/cache/epub/786/pg786.txt,610774
550,Silas Marner,Silas Marner,George Eliot,Realism,Match,100,https://www.gutenberg.org/cache/epub/550/pg550.txt,419066
61221,A Passage to India,A passage to India,E.M. Forster,Modernism,Match,100,https://www.gutenberg.org/cache/epub/61221/pg61221.txt,605895
43,The Strange Case of Dr. Jekyll and Mr. Hyde,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Gothicism,Match,100,https://www.gutenberg.org/cache/epub/43/pg43.txt,161085
2638,The Idiot,The Idiot,Fyodor Dostoyevsky,Realism,Match,100,https://www.gutenberg.org/files/2638/2638-0.txt,1394468
2145,Ben-Hur,Ben-Hur: A Tale of the Christ,Lew Wallace,Romanticism,Match,100,https://www.gutenberg.org/files/2145/2145-0.txt,1143706
2186,Captains Courageous,"""Captains Courageous""",Rudyard Kipling,Realism,Match,100,https://www.gutenberg.org/files/2186/2186.txt,320749
4240,Women in Love,Women in Love,D.H. Lawrence,Modernism,Match,100,https://www.gutenberg.org/files/4240/4240-0.txt,1066755
24,O Pioneers!,O Pioneers!,Willa Cather,Modernism,Match,100,https://www.gutenberg.org/files/24/24-0.txt,325067
700,The Old Curiosity Shop,The Old Curiosity Shop,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/files/700/700-0.txt,1258308
963,Little Dorrit,Little Dorrit,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/cache/epub/963/pg963.txt,1937118
805,This Side of Paradise,This Side of Paradise,F. Scott Fitzgerald,Modernism,Match,100,https://www.gutenberg.org/files/805/805-0.txt,551340
351,Of Human Bondage,Of Human Bondage,W. Somerset Maugham,Modernism,Match,100,https://www.gutenberg.org/files/351/351-0.txt,1459124
2500,Siddhartha,Siddhartha,Hermann Hesse,Modernism,Match,100,https://www.gutenberg.org/files/2500/2500-0.txt,239823
507,Adam Bede,Adam Bede,George Eliot,Realism,Match,100,https://www.gutenberg.org/files/507/507-0.txt,1195780
35155,The Betrothed,The Betrothed,Alessandro Manzoni,Romanticism,Match,100,https://www.gutenberg.org/files/35155/35155-0.txt,986553
1074,The Sea Wolf,The Sea-Wolf,Jack London,Realism,Match,96,https://www.gutenberg.org/cache/epub/1074/pg1074.txt,611275
69730,Death Comes for the Archbishop,Death comes for the archbishop,Willa Cather,Modernism,Match,100,https://www.gutenberg.org/cache/epub/69730/pg69730.txt,417059
580,The Pickwick Papers,The Pickwick Papers,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/files/580/580-0.txt,1802634
69768,The Bridge of San Luis Rey,The bridge of San Luis Rey,Thornton Wilder,Modernism,Match,100,https://www.gutenberg.org/cache/epub/69768/pg69768.txt,202555
821,Dombey And Son,Dombey and Son,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/files/821/821-0.txt,2051273
2641,A Room With a View,A Room with a View,E.M. Forster,Realism,Match,100,https://www.gutenberg.org/cache/epub/2641/pg2641.txt,403477
883,Our Mutual Friend,Our Mutual Friend,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/cache/epub/883/pg883.txt,1869411
1156,Babbitt,Babbitt,Sinclair Lewis,Modernism,Match,100,https://www.gutenberg.org/cache/epub/1156/pg1156.txt,737317
17460,Lorna Doone,Lorna Doone,R.D. Blackmore,Romanticism,Match,100,https://www.gutenberg.org/files/17460/17460-0.txt,1500183
47,Anne of Avonlea,Anne of Avonlea,L.M. Montgomery,Realism,Match,100,https://www.gutenberg.org/cache/epub/47/pg47.txt,517500
175,The Phantom of the Opera,The Phantom of the Opera,Gaston Leroux,Gothicism,Match,100,https://www.gutenberg.org/files/175/175.txt,504798
2084,The Way of All Flesh,The Way of All Flesh,Samuel Butler,Realism,Match,100,https://www.gutenberg.org/files/2084/2084-0.txt,909256
9182,Villette,Villette,Charlotte Brontë,Realism,Match,100,https://www.gutenberg.org/files/9182/9182-0.txt,1133535
2853,Quo Vadis,Quo Vadis,Henryk Sienkiewicz,Romanticism,Match,100,https://www.gutenberg.org/files/2853/2853-0.txt,1204864
543,Main Street,Main Street,Sinclair Lewis,Modernism,Match,100,https://www.gutenberg.org/files/543/543-0.txt,987000
564,The Mystery of Edwin Drood,The Mystery of Edwin Drood,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/cache/epub/564/pg564.txt,571229
2870,Washington Square,Washington Square,Henry James,Realism,Match,100,https://www.gutenberg.org/files/2870/2870-0.txt,384911
2021,Nostromo,Nostromo: A Tale of the Seaboard,Joseph Conrad,Realism,Match,100,https://www.gutenberg.org/files/2021/2021-0.txt,1004744
219,Heart of Darkness,Heart of Darkness,Joseph Conrad,Realism,Match,100,https://www.gutenberg.org/cache/epub/219/pg219.txt,232885
498,Rebecca of Sunnybrook Farm,Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin,Realism,Match,100,https://www.gutenberg.org/files/498/498.txt,439212
432,The Ambassadors,The Ambassadors,Henry James,Realism,Match,100,https://www.gutenberg.org/files/432/432-0.txt,941958
974,The Secret Agent,The Secret Agent,Joseph Conrad,Realism,Match,100,https://www.gutenberg.org/files/974/974-0.txt,551185
416,"Winesburg, Ohio","Winesburg, Ohio",Sherwood Anderson,Modernism,Match,100,https://www.gutenberg.org/files/416/416-0.txt,421764
917,Barnaby Rudge,Barnaby Rudge,Charles Dickens,Realism,Match,100,https://www.gutenberg.org/files/917/917-0.txt,1465722
2946,Howards End,Howards End,E.M. Forster,Realism,Match,100,https://www.gutenberg.org/files/2946/2946-0.txt,645829
28948,The Rainbow,The Rainbow,D.H. Lawrence,Modernism,Match,100,https://www.gutenberg.org/cache/epub/28948/pg28948.txt,1072023
1938,Resurrection,Resurrection,Leo Tolstoy,Realism,Match,100,https://www.gutenberg.org/files/1938/1938-0.txt,1011580
66073,Death In Venice,Death in Venice,Thomas Mann,Modernism,Match,100,https://www.gutenberg.org/files/66073/66073-0.txt,187089
69087,The Murder of Roger Ackroyd,The murder of Roger Ackroyd,Agatha Christie,Modernism,Match,100,https://www.gutenberg.org/cache/epub/69087/pg69087.txt,432816
619,The Warden,The Warden,Anthony Trollope,Realism,Match,100,https://www.gutenberg.org/files/619/619.txt,426950
30486,Shirley,Shirley,Charlotte Brontë,Realism,Match,100,https://www.gutenberg.org/cache/epub/30486/pg30486.txt,1273727
51,Anne of the Island,Anne of the Island,L.M. Montgomery,Modernism,Match,100,https://www.gutenberg.org/cache/epub/51/pg51.txt,453622
969,The Tenant of Wildfell Hall,The Tenant of Wildfell Hall,Anne Brontë,Realism,Match,100,https://www.gutenberg.org/files/969/969-0.txt,973379
32954,The Black Arrow: A Tale of the Two Roses,The Black Arrow,Robert Louis Stevenson,Romanticism,Match,100,https://www.gutenberg.org/files/32954/32954-0.txt,470137
1298,The Virginian: A Horseman of the Plains,The Virginian,Owen Wister,Realism,Match,100,https://www.gutenberg.org/files/1298/1298-0.txt,746164
2166,King Solomon's Mines,King Solomon’s Mines,H. Rider Haggard,Romanticism,Match,100,https://www.gutenberg.org/files/2166/2166-0.txt,473016
222,The Moon and Sixpence,The Moon and Sixpence,W. Somerset Maugham,Modernism,Match,100,https://www.gutenberg.org/files/222/222-0.txt,433442
70875,Arrowsmith,Arrowsmith,Sinclair Lewis,Modernism,Match,100,https://www.gutenberg.org/files/70875/70875-0.txt,982584
201,Flatland,Flatland:,Edwin A. Abbott,Realism,Match,100,https://www.gutenberg.org/files/201/201-0.txt,227205
1606,Kenilworth,Kenilworth,Walter Scott,Romanticism,Match,100,https://www.gutenberg.org/files/1606/1606-0.txt,1112186
21338,"The Unfortunate Traveller, or The Life of Jack Wilton","The Vnfortunate Traveller, or The Life Of Jack Wilton",Thomas Nash,Renaissance,Match,96,https://www.gutenberg.org/files/21338/21338.txt,295993
34392,Cape Cod,Cape Cod,Henry David Thoreau,Transcendentalism,Match,100,https://www.gutenberg.org/files/34392/34392-0.txt,460523
53489,The Life of Lazarillo de Tormes,The Life of Lazarillo de Tormes,Anonymous,Renaissance,Match,100,https://www.gutenberg.org/files/53489/53489-0.txt,168758
28858,"The Heptameron of Margaret, Queen of Navarre","The Heptameron of Margaret, Queen of Navarre",Marguerite de Navarre,Renaissance,Match,100,https://www.gutenberg.org/files/28858/28858.txt,44210
14031,"The Colloquies of Erasmus, Volume I.",Unknown,Desiderius Erasmus,Renaissance,No Title Found,0,https://www.gutenberg.org/files/14031/14031-0.txt,849653
20179,"The Ship of Fools, Volume 1","The Ship of Fools, Volume 1",Sebastian Brant,Renaissance,Match,100,https://www.gutenberg.org/files/20179/20179.txt,535071
35993,The History of Don Quixote de la Mancha,The History of Don Quixote de la Mancha,Miguel de Cervantes,Renaissance,Match,100,https://www.gutenberg.org/files/35993/35993.txt,1321149
4028,The Autobiography of Benvenuto Cellini,The Autobiography of Benvenuto Cellini,Benvenuto Cellini,Renaissance,Match,100,https://www.gutenberg.org/cache/epub/4028/pg4028.txt,1047925
67925,SHELLEY’S PROSE WORKS VOL. I.,"The Prose Works of Percy Bysshe Shelley, Vol. 1 [of 2]",Percy Bysshe Shelley,Romanticism,Mismatch,50,https://www.gutenberg.org/cache/epub/67925/pg67925.txt,783205
50480,Phantasus 1,Unknown,Ludwig Tieck,Romanticism,No Title Found,0,https://www.gutenberg.org/files/50480/50480-0.txt,648621
35664,Titan: A Romance v. 1 (of 2),Titan: A Romance v. 1 (of 2),Jean Paul,Romanticism,Match,100,https://www.gutenberg.org/files/35664/35664-0.txt,951356
36403,Titan: A Romance. v. 2 (of 2),Titan: A Romance,Jean Paul,Romanticism,Match,100,https://www.gutenberg.org/files/36403/36403-0.txt,929790
51459,The Analysis of Beauty,Unknown,William Hogarth,Romanticism,No Title Found,0,https://www.gutenberg.org/files/51459/51459-0.txt,266808
69258,Society and Solitude: Twelve Chapters,Society and solitude: Twelve chapters,Ralph Waldo Emerson,Transcendentalism,Match,100,https://www.gutenberg.org/cache/epub/69258/pg69258.txt,396794
2050,Old John Brown,Old John Brown,Walter Hawkins,Transcendentalism,Match,100,https://www.gutenberg.org/files/2050/2050.txt,104113
60951,The Service,The Service,Henry David Thoreau,Transcendentalism,Match,100,https://www.gutenberg.org/cache/epub/60951/pg60951.txt,45885
53683,Bronson Alcott's Fruitlands,Unknown,Clara Endicott Sears,Transcendentalism,No Title Found,0,https://www.gutenberg.org/files/53683/53683-0.txt,257415
13583,"The Correspondence of Thomas Carlyle and Ralph Waldo Emerson, 1834-1872, Vol. I",Unknown,Ralph Waldo Emerson,Transcendentalism,No Title Found,0,https://www.gutenberg.org/files/13583/13583-0.txt,511607
16643,Essays by Ralph Waldo Emerson,Essays,Ralph Waldo Emerson,Transcendentalism,Mismatch,34,https://www.gutenberg.org/files/16643/16643-0.txt,567150
39827,The Conduct of Life,The Conduct of Life,Ralph Waldo Emerson,Transcendentalism,Match,100,https://www.gutenberg.org/files/39827/39827-0.txt,408644
2944,Essays — First Series,"Essays, First Series",Ralph Waldo Emerson,Transcendentalism,Match,97,https://www.gutenberg.org/files/2944/2944-0.txt,438093
2945,Essays — Second Series,"Essays, Second Series",Ralph Waldo Emerson,Transcendentalism,Match,98,https://www.gutenberg.org/files/2945/2945.txt,352675
71,On the Duty of Civil Disobedience,On the Duty of Civil Disobedience,Henry David Thoreau,Transcendentalism,Match,100,https://www.gutenberg.org/files/71/71-0.txt,71985
True,"Walden, and On The Duty Of Civil Disobedience",N/A,Transcendentalism,205,Invalid ID,0,,0
4232,A Week on the Concord and Merrimack Rivers,A Week on the Concord and Merrimack Rivers,Henry David Thoreau,Transcendentalism,Match,100,https://www.gutenberg.org/files/4232/4232-0.txt,677869
38049,"Louisa May Alcott: Her Life, Letters, and Journals",Louisa May Alcott,Louisa May Alcott,Transcendentalism,Mismatch,53,https://www.gutenberg.org/files/38049/38049-0.txt,681254
8642,Woman in the Nineteenth Century,Woman in the Nineteenth Century,Margaret Fuller,Transcendentalism,Match,100,https://www.gutenberg.org/files/8642/8642.txt,653849
11526,"Summer on the Lakes, in 1843",Unknown,Margaret Fuller,Transcendentalism,No Title Found,0,https://www.gutenberg.org/files/11526/11526-0.txt,388887
75942,Lectures and Biographical Sketches,Lectures and biographical sketches,Ralph Waldo Emerson,Transcendentalism,Match,100,https://www.gutenberg.org/cache/epub/75942/pg75942.txt,590285
11068,"The Spirit of the Age; Or, Contemporary Portraits",Unknown,William Hazlitt,Romanticism,No Title Found,0,https://www.gutenberg.org/files/11068/11068-0.txt,474210
3664,Yvette,Yvette,Guy de Maupassant,Naturalism,Match,100,https://www.gutenberg.org/files/3664/3664.txt,161636
3804,Pierre & Jean,Pierre & Jean,Guy de Maupassant,Naturalism,Match,100,https://www.gutenberg.org/files/3804/3804-0.txt,276191
143,The Mayor of Casterbridge,The Mayor of Casterbridge,Thomas Hardy,Naturalism,Match,100,https://www.gutenberg.org/cache/epub/143/pg143.txt,684504
2781,Just So Stories,Just So Stories,Rudyard Kipling,Naturalism,Match,100,https://www.gutenberg.org/files/2781/2781-0.txt,181434
2662,"Under the Greenwood Tree; Or, The Mellstock Quire",Under the Greenwood Tree,Thomas Hardy,Naturalism,Match,100,https://www.gutenberg.org/files/2662/2662-0.txt,352409
1075,The Strength of the Strong,The Strength of the Strong,Jack London,Naturalism,Match,100,https://www.gutenberg.org/files/1075/1075-0.txt,289324
1208,South Sea Tales,Unknown,Jack London,Naturalism,No Title Found,0,https://www.gutenberg.org/files/1208/1208-0.txt,285534
1449,The Valley of the Moon,Unknown,Jack London,Naturalism,No Title Found,0,https://www.gutenberg.org/files/1449/1449-0.txt,939593
2545,When God Laughs and Other Stories,When God Laughs and Other Stories,Jack London,Naturalism,Match,100,https://www.gutenberg.org/files/2545/2545-0.txt,308158
11228,The Marrow of Tradition,Unknown,Charles W. Chesnutt,Naturalism,No Title Found,0,https://www.gutenberg.org/files/11228/11228-0.txt,512692
