Title,Author,Movement,GutenbergID,IsProse
Cranford,Elizabeth Gaskell,Realism,394,True
Project Gutenberg Compilation of Short Stories by Chekhov,Anton Chekhov,Realism,57333,True
Books and authors,T.S. Eliot,Modernism,73139,True
Lady Chatterley's lover,D.H. Lawrence,Modernism,73144,True
The sound and the fury,William Faulkner,Modernism,75170,True
"The Garden Party, and Other Stories",Katherine Mansfield,Modernism,1429,True
A Tale of Two Cities,Charles Dickens,Realism,98,True
The Japanese Spirit,George Meredith,Realism,34341,True
Jane Eyre: An Autobiography,Charlotte Brontë,Realism,1260,True
The Moonstone,Wilkie Collins,Gothicism,155,True
Treasure Island,Robert Louis Stevenson,Romanticism,120,True
Pride and Prejudice,Jane Austen,Romanticism,1342,True
A Christmas Carol,Charles Dickens,Realism,46,True
David Copperfield,Charles Dickens,Realism,766,True
Little Women,Louisa May Alcott,Realism,37106,True
Great Expectations,Charles Dickens,Realism,1400,True
Oliver Twist,Charles Dickens,Realism,730,True
Uncle Tom's Cabin,Harriet Beecher Stowe,Realism,203,True
The Three Musketeers,Alexandre Dumas,Romanticism,1257,True
Les Misérables,Victor Hugo,Romanticism,135,True
The Call of the Wild,Jack London,Realism,215,True
The Wind in the Willows,Kenneth Grahame,Realism,289,True
Sense and Sensibility,Jane Austen,Romanticism,161,True
The Last of the Mohicans,James Fenimore Cooper,Romanticism,940,True
Heidi,Johanna Spyri,Realism,20781,True
The Count of Monte Cristo,Alexandre Dumas,Romanticism,1184,True
Ivanhoe,Walter Scott,Romanticism,82,True
Anne of Green Gables,L.M. Montgomery,Realism,45,True
The House of the Seven Gables,Nathaniel Hawthorne,Gothicism,77,True
The Prince and the Pauper,Mark Twain,Romanticism,1837,True
Lord Jim,Joseph Conrad,Realism,5658,True
The Red & the Black,Stendhal,Romanticism,44747,True
Vanity Fair,William Makepeace Thackeray,Realism,599,True
My Ántonia,Willa Cather,Modernism,242,True
White Fang,Jack London,Realism,910,True
Persuasion,Jane Austen,Romanticism,105,True
Mansfield Park,Jane Austen,Romanticism,141,True
Sons and Lovers,D.H. Lawrence,Modernism,217,True
The Swiss Family Robinson,Johann David Wyss,Romanticism,11703,True
"The History of Tom Jones, a Foundling",Henry Fielding,Realism,6593,True
Kim,Rudyard Kipling,Realism,2226,True
The Mill on the Floss,George Eliot,Realism,6688,True
The Hound of the Baskervilles,Arthur Conan Doyle,Realism,2852,True
The Age of Innocence,Edith Wharton,Modernism,541,True
Northanger Abbey,Jane Austen,Romanticism,121,True
Hard Times,Charles Dickens,Realism,786,True
Silas Marner,George Eliot,Realism,550,True
A Passage to India,E.M. Forster,Modernism,61221,True
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Gothicism,43,True
The Idiot,Fyodor Dostoyevsky,Realism,2638,True
Ben-Hur,Lew Wallace,Romanticism,2145,True
Captains Courageous,Rudyard Kipling,Realism,2186,True
Women in Love,D.H. Lawrence,Modernism,4240,True
O Pioneers!,Willa Cather,Modernism,24,True
The Old Curiosity Shop,Charles Dickens,Realism,700,True
Little Dorrit,Charles Dickens,Realism,963,True
This Side of Paradise,F. Scott Fitzgerald,Modernism,805,True
Of Human Bondage,W. Somerset Maugham,Modernism,351,True
Siddhartha,Hermann Hesse,Modernism,2500,True
Adam Bede,George Eliot,Realism,507,True
The Betrothed,Alessandro Manzoni,Romanticism,35155,True
The Sea Wolf,Jack London,Realism,1074,True
Death Comes for the Archbishop,Willa Cather,Modernism,69730,True
The Pickwick Papers,Charles Dickens,Realism,580,True
The Bridge of San Luis Rey,Thornton Wilder,Modernism,69768,True
Dombey And Son,Charles Dickens,Realism,821,True
A Room With a View,E.M. Forster,Realism,2641,True
Our Mutual Friend,Charles Dickens,Realism,883,True
Babbitt,Sinclair Lewis,Modernism,1156,True
Lorna Doone,R.D. Blackmore,Romanticism,17460,True
Anne of Avonlea,L.M. Montgomery,Realism,47,True
The Phantom of the Opera,Gaston Leroux,Gothicism,175,True
The Way of All Flesh,Samuel Butler,Realism,2084,True
Villette,Charlotte Brontë,Realism,9182,True
Quo Vadis,Henryk Sienkiewicz,Romanticism,2853,True
Main Street,Sinclair Lewis,Modernism,543,True
The Mystery of Edwin Drood,Charles Dickens,Realism,564,True
Washington Square,Henry James,Realism,2870,True
Nostromo,Joseph Conrad,Realism,2021,True
Heart of Darkness,Joseph Conrad,Realism,219,True
Rebecca of Sunnybrook Farm,Kate Douglas Smith Wiggin,Realism,498,True
The Ambassadors,Henry James,Realism,432,True
The Secret Agent,Joseph Conrad,Realism,974,True
"Winesburg, Ohio",Sherwood Anderson,Modernism,416,True
Barnaby Rudge,Charles Dickens,Realism,917,True
Howards End,E.M. Forster,Realism,2946,True
The Rainbow,D.H. Lawrence,Modernism,28948,True
Resurrection,Leo Tolstoy,Realism,1938,True
Death In Venice,Thomas Mann,Modernism,66073,True
The Murder of Roger Ackroyd,Agatha Christie,Modernism,69087,True
The Warden,Anthony Trollope,Realism,619,True
Shirley,Charlotte Brontë,Realism,30486,True
Anne of the Island,L.M. Montgomery,Modernism,51,True
The Tenant of Wildfell Hall,Anne Brontë,Realism,969,True
The Black Arrow: A Tale of the Two Roses,Robert Louis Stevenson,Romanticism,32954,True
The Virginian: A Horseman of the Plains,Owen Wister,Realism,1298,True
King Solomon's Mines,H. Rider Haggard,Romanticism,2166,True
The Moon and Sixpence,W. Somerset Maugham,Modernism,222,True
Arrowsmith,Sinclair Lewis,Modernism,70875,True
Flatland,Edwin A. Abbott,Realism,201,True
Kenilworth,Walter Scott,Romanticism,1606,True
